dist_code,year,state_code,state_name,dist_name,area,production,yield_kg_ha
1,2000,14,Chhattisgarh,Durg,0.02,0.01,500.0
1,2010,14,Chhattisgarh,Durg,0.33,0.49,1485.0
1,2017,14,Chhattisgarh,Durg,0.02,0.01,333.0
3,1991,14,Chhattisgarh,Raipur,0.02,0.02,1000.0
3,1992,14,Chhattisgarh,Raipur,0.01,0.01,1000.0
3,2007,14,Chhattisgarh,Raipur,0.01,0.01,1000.0
4,2011,14,Chhattisgarh,Bilaspur,0.01,0.01,1000.0
4,2012,14,Chhattisgarh,Bilaspur,0.01,0.01,1000.0
4,2013,14,Chhattisgarh,Bilaspur,0.01,0.01,1000.0
4,2014,14,Chhattisgarh,Bilaspur,0.02,0.01,500.0
4,2015,14,Chhattisgarh,Bilaspur,0.02,0.01,500.0
4,2016,14,Chhattisgarh,Bilaspur,0.02,0.01,400.0
4,2017,14,Chhattisgarh,Bilaspur,0.02,0.01,438.0
4,2018,14,Chhattisgarh,Bilaspur,0.01,0.01,417.0
5,1990,14,Chhattisgarh,Raigarh,0.07,0.04,571.0
5,1991,14,Chhattisgarh,Raigarh,0.04,0.02,500.0
5,1992,14,Chhattisgarh,Raigarh,0.05,0.03,600.0
5,1993,14,Chhattisgarh,Raigarh,0.06,0.03,500.0
5,2000,14,Chhattisgarh,Raigarh,0.02,0.01,500.0
5,2001,14,Chhattisgarh,Raigarh,0.03,0.01,333.0
5,2002,14,Chhattisgarh,Raigarh,0.03,0.01,333.0
5,2004,14,Chhattisgarh,Raigarh,0.03,0.01,333.0
5,2005,14,Chhattisgarh,Raigarh,0.03,0.01,333.0
5,2006,14,Chhattisgarh,Raigarh,0.05,0.02,400.0
5,2007,14,Chhattisgarh,Raigarh,0.02,0.01,500.0
5,2008,14,Chhattisgarh,Raigarh,0.02,0.01,500.0
5,2009,14,Chhattisgarh,Raigarh,0.02,0.01,500.0
5,2011,14,Chhattisgarh,Raigarh,0.03,0.01,333.0
5,2012,14,Chhattisgarh,Raigarh,0.33,0.13,394.0
5,2013,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0
5,2014,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0
5,2015,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0
6,1990,14,Chhattisgarh,Surguja,0.04,0.02,500.0
7,1990,6,Madhya Pradesh,Jabalpur,0.04,0.04,1000.0
7,1991,6,Madhya Pradesh,Jabalpur,0.03,0.02,667.0
7,1992,6,Madhya Pradesh,Jabalpur,0.05,0.04,800.0
7,1993,6,Madhya Pradesh,Jabalpur,0.02,0.01,500.0
7,2005,6,Madhya Pradesh,Jabalpur,0.01,0.01,1000.0
7,2006,6,Madhya Pradesh,Jabalpur,0.01,0.01,1000.0
7,2018,6,Madhya Pradesh,Jabalpur,0.03,0.04,1321.0
7,2019,6,Madhya Pradesh,Jabalpur,0.01,0.02,1727.0
8,2006,6,Madhya Pradesh,Balaghat,0.01,0.01,1000.0
9,1990,6,Madhya Pradesh,Chhindwara,0.08,0.05,625.0
9,1991,6,Madhya Pradesh,Chhindwara,0.07,0.04,571.0
9,1992,6,Madhya Pradesh,Chhindwara,0.15,0.1,667.0
9,1993,6,Madhya Pradesh,Chhindwara,0.17,0.12,706.0
9,1994,6,Madhya Pradesh,Chhindwara,0.3,0.2,667.0
9,1995,6,Madhya Pradesh,Chhindwara,0.2,0.2,1000.0
9,1996,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0
9,1997,6,Madhya Pradesh,Chhindwara,0.2,0.2,1000.0
9,1998,6,Madhya Pradesh,Chhindwara,0.2,0.1,500.0
9,1999,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0
9,2000,6,Madhya Pradesh,Chhindwara,0.3,0.2,667.0
9,2001,6,Madhya Pradesh,Chhindwara,0.4,0.2,500.0
9,2002,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0
9,2003,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0
9,2004,6,Madhya Pradesh,Chhindwara,0.11,0.09,818.0
9,2005,6,Madhya Pradesh,Chhindwara,0.08,0.05,625.0
9,2006,6,Madhya Pradesh,Chhindwara,0.11,0.09,818.0
9,2010,6,Madhya Pradesh,Chhindwara,0.11,0.11,964.0
9,2011,6,Madhya Pradesh,Chhindwara,0.11,0.13,1218.0
9,2014,6,Madhya Pradesh,Chhindwara,2.0,3.0,1500.0
9,2018,6,Madhya Pradesh,Chhindwara,0.14,0.17,1169.0
9,2019,6,Madhya Pradesh,Chhindwara,0.01,0.01,1143.0
10,1990,6,Madhya Pradesh,Narsinghpur,0.14,0.14,1000.0
10,1991,6,Madhya Pradesh,Narsinghpur,0.11,0.09,818.0
10,1992,6,Madhya Pradesh,Narsinghpur,0.09,0.1,1111.0
10,1993,6,Madhya Pradesh,Narsinghpur,0.07,0.06,857.0
10,1995,6,Madhya Pradesh,Narsinghpur,0.2,0.2,1000.0
10,2000,6,Madhya Pradesh,Narsinghpur,0.1,0.1,1000.0
10,2004,6,Madhya Pradesh,Narsinghpur,0.02,0.03,1500.0
10,2005,6,Madhya Pradesh,Narsinghpur,0.01,0.02,2000.0
10,2007,6,Madhya Pradesh,Narsinghpur,0.1,0.1,1000.0
10,2011,6,Madhya Pradesh,Narsinghpur,0.02,0.04,1947.0
10,2013,6,Madhya Pradesh,Narsinghpur,0.01,0.01,1000.0
10,2014,6,Madhya Pradesh,Narsinghpur,3.0,4.0,1333.0
10,2017,6,Madhya Pradesh,Narsinghpur,1.0,2.54,2540.0
10,2018,6,Madhya Pradesh,Narsinghpur,0.01,0.01,1429.0
11,1990,6,Madhya Pradesh,Seoni,0.05,0.06,1200.0
11,2012,6,Madhya Pradesh,Seoni,0.01,0.02,2000.0
11,2018,6,Madhya Pradesh,Seoni,0.01,0.01,1250.0
13,1990,6,Madhya Pradesh,Sagar,0.03,0.02,667.0
13,1991,6,Madhya Pradesh,Sagar,0.06,0.03,500.0
13,1992,6,Madhya Pradesh,Sagar,0.01,0.01,1000.0
