dist_name,state_name,dist_code,lat,lon
Durg,Chhattisgarh,1,21.1982964,81.4007922
Raipur,Chhattisgarh,3,21.2380912,81.6336993
Bilaspur,Chhattisgarh,4,22.1638486,82.1365923
Raigarh,Chhattisgarh,5,22.2361795,83.3529534
Surguja,Chhattisgarh,6,22.9469135,83.1656942
Jabalpur,Madhya Pradesh,7,23.1701522,79.9324505
Balaghat,Madhya Pradesh,8,21.8611589,80.3237105
Chhindwara,Madhya Pradesh,9,22.2071897,78.798833
Narsinghpur,Madhya Pradesh,10,22.934556,79.0867849
Seoni,Madhya Pradesh,11,22.2748109,79.7202522
Mandla,Madhya Pradesh,12,22.6871074,80.5816341
Sagar,Madhya Pradesh,13,23.8083076,78.758254
Damoh,Madhya Pradesh,14,23.7981005,79.5419356
Tikamgarh,Madhya Pradesh,15,24.8552105,79.0472546
Chhatarpur,Madhya Pradesh,16,24.7606089,79.6781776
Panna,Madhya Pradesh,17,24.4498931,80.1462723
Rewa,Madhya Pradesh,18,24.7560846,81.3810574
Sidhi,Madhya Pradesh,19,24.2112687,81.7000415
Satna,Madhya Pradesh,20,24.6954445,80.7770348
Shahdol,Madhya Pradesh,21,23.3002343,81.364771
Gwalior,Madhya Pradesh,22,26.2037247,78.1573628
Shivpuri,Madhya Pradesh,23,25.3741216,77.8278866
Guna,Madhya Pradesh,24,24.5001772,77.2600959
Datia,Madhya Pradesh,25,25.9182947,78.6644962
Morena,Madhya Pradesh,26,26.3849794,77.8612721
Bhind,Madhya Pradesh,27,26.3518828,78.6863189
Indore,Madhya Pradesh,28,22.7203616,75.8681996
Ratlam,Madhya Pradesh,29,23.50222,74.9551534
Ujjain,Madhya Pradesh,30,23.1885131,75.7716562
Mandsaur,Madhya Pradesh,31,24.2628148,75.385692
Dewas,Madhya Pradesh,32,22.8057498,76.2940408
Dhar,Madhya Pradesh,33,22.5786572,75.2258637
Jhabua,Madhya Pradesh,34,22.8869652,74.7243249
Khargone,Madhya Pradesh,35,21.9544729,75.7521248
Khandwa,Madhya Pradesh,36,21.9769779,76.5675344
Sehore,Madhya Pradesh,37,23.1150041,77.0665356
Raisen,Madhya Pradesh,38,23.2675909,78.1727134
Vidisha,Madhya Pradesh,39,23.8463004,77.8370209
Betul,Madhya Pradesh,40,21.8797472,77.8753651
Rajgarh,Madhya Pradesh,41,23.8716707,76.7744703
Shajapur,Madhya Pradesh,42,23.4171002,76.6074794
Hoshangabad,Madhya Pradesh,43,22.7545538,77.7198249
Srikakulam,Andhra Pradesh,44,18.2949307,83.8938844
Visakhapatnam,Andhra Pradesh,45,17.6935526,83.2921297
East Godavari,Andhra Pradesh,46,16.9956639,81.7154378
West Godavari,Andhra Pradesh,47,16.6443029,81.5885247
Krishna,Andhra Pradesh,48,16.2135466,81.0277844
Guntur,Andhra Pradesh,49,16.2915189,80.4541588
S.P.S.Nellore,Andhra Pradesh,50,14.4567186,79.9894291
Kurnool,Andhra Pradesh,51,15.8309251,78.0425373
Anantapur,Andhra Pradesh,52,14.6783221,77.6065039
