dist_code,dist_name,state_name,year,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
1,Durg,Chhattisgarh,1990,8.95,8.3,10.8,10.47,38.52,52.11
1,Durg,Chhattisgarh,1991,7.24,9.71,12.45,3.42,32.82,34.39
1,Durg,Chhattisgarh,1992,3.18,9.95,14.89,6.13,34.15,36.48
1,Durg,Chhattisgarh,1993,6.35,15.76,12.68,6.93,41.72,44.78
1,Durg,Chhattisgarh,1994,10.78,17.21,11.93,9.67,49.59,54.28
1,Durg,Chhattisgarh,1995,3.56,15.02,9.85,6.8,35.23,42.63
1,Durg,Chhattisgarh,1996,3.2,10.76,10.26,3.62,27.84,31.96
1,Durg,Chhattisgarh,1997,3.59,12.38,13.72,2.09,31.78,38.54
1,Durg,Chhattisgarh,1998,3.56,5.53,7.6,5.86,22.549999999999997,30.96
1,Durg,Chhattisgarh,1999,4.77,6.01,14.65,7.35,32.78,35.28
1,Durg,Chhattisgarh,2000,10.76,10.39,5.0,2.52,28.669999999999998,31.18
1,Durg,Chhattisgarh,2001,11.5,9.6,9.57,4.32,34.99,40.66
1,Durg,Chhattisgarh,2002,7.52,3.92,10.15,2.49,24.08,27.32
1,Durg,Chhattisgarh,2003,2.91,11.8,16.16,10.64,41.510000000000005,49.76
1,Durg,Chhattisgarh,2004,8.32,9.6,5.85,7.03,30.800000000000004,35.41
1,Durg,Chhattisgarh,2005,4.13,17.87,11.17,10.74,43.910000000000004,52.56
1,Durg,Chhattisgarh,2006,2.71,11.72,10.69,9.19,34.309999999999995,39.9
1,Durg,Chhattisgarh,2007,20.5,10.57,8.94,6.99,47.0,49.79
1,Durg,Chhattisgarh,2008,7.89,6.13,8.01,11.65,33.68,36.13
1,Durg,Chhattisgarh,2009,2.13,19.54,9.06,2.82,33.55,37.92
1,Durg,Chhattisgarh,2010,4.87,15.02,7.64,9.71,37.24,44.03
1,Durg,Chhattisgarh,2011,6.37,12.31,15.39,12.33,46.4,52.01
1,Durg,Chhattisgarh,2012,8.37,18.82,16.32,7.86,51.37,55.06
1,Durg,Chhattisgarh,2013,12.61,17.71,12.73,5.6,48.65,55.87
1,Durg,Chhattisgarh,2014,2.97,16.55,7.69,9.15,36.36,42.92
1,Durg,Chhattisgarh,2015,10.0,7.41,9.01,8.16,34.58,37.6
1,Durg,Chhattisgarh,2016,6.0,11.99,7.92,12.03,37.940000000000005,42.14
1,Durg,Chhattisgarh,2017,6.02,12.17,8.48,6.96,33.629999999999995,36.58
1,Durg,Chhattisgarh,2018,5.01,11.07,12.71,3.1,31.89,36.980000000000004
1,Durg,Chhattisgarh,2019,4.63,11.57,13.18,15.85,45.23,50.03
3,Raipur,Chhattisgarh,1990,8.79,8.06,10.59,10.48,37.92,51.61
3,Raipur,Chhattisgarh,1991,7.16,9.4,12.16,3.44,32.160000000000004,33.69
3,Raipur,Chhattisgarh,1992,3.08,9.77,14.65,6.06,33.56,35.93
3,Raipur,Chhattisgarh,1993,6.23,15.47,12.55,6.61,40.86,43.830000000000005
3,Raipur,Chhattisgarh,1994,10.62,16.72,11.58,9.47,48.38999999999999,53.03
3,Raipur,Chhattisgarh,1995,3.45,14.76,9.59,6.58,34.38,41.71
