dist_code,year,state_code,state_name,dist_name,area,production,yield_kg_ha,yield_lag1,yield_lag2,yield_lag3,yield_rolling3,yield_yoy_change,area_lag1,state_avg_yield,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
4,2014,14,Chhattisgarh,Bilaspur,0.02,0.01,500.0,1000.0,1000.0,1000.0,1000.0,-0.5,0.01,750.0,3.1,12.45,8.9,7.29,31.74,41.02
4,2015,14,Chhattisgarh,Bilaspur,0.02,0.01,500.0,500.0,1000.0,1000.0,833.3333333333334,0.0,0.02,666.6666666666666,6.63,9.55,9.99,7.71,33.88,37.73
4,2016,14,Chhattisgarh,Bilaspur,0.02,0.01,400.0,500.0,500.0,1000.0,666.6666666666666,-0.19999999999999996,0.02,585.3333333333334,4.08,11.2,11.09,9.59,35.959999999999994,41.52
4,2017,14,Chhattisgarh,Bilaspur,0.02,0.01,438.0,400.0,500.0,500.0,466.6666666666667,0.09499999999999997,0.02,402.0,6.84,13.49,9.38,6.91,36.620000000000005,39.41
4,2018,14,Chhattisgarh,Bilaspur,0.01,0.01,417.0,438.0,400.0,500.0,446.0,-0.047945205479452024,0.02,684.0,4.54,12.15,11.34,3.2,31.23,35.81
5,1993,14,Chhattisgarh,Raigarh,0.06,0.03,500.0,600.0,500.0,571.0,557.0,-0.16666666666666663,0.05,750.0,7.25,13.87,9.83,10.92,41.87,46.91
5,2000,14,Chhattisgarh,Raigarh,0.02,0.01,500.0,500.0,600.0,500.0,533.3333333333334,0.0,0.06,625.0,6.73,7.21,4.17,4.27,22.38,25.15
5,2001,14,Chhattisgarh,Raigarh,0.03,0.01,333.0,500.0,500.0,600.0,533.3333333333334,-0.33399999999999996,0.02,333.0,7.88,17.45,11.59,3.44,40.36,46.38
5,2002,14,Chhattisgarh,Raigarh,0.03,0.01,333.0,333.0,500.0,500.0,444.3333333333333,0.0,0.03,666.5,5.5,4.66,9.04,5.28,24.48,28.69
5,2004,14,Chhattisgarh,Raigarh,0.03,0.01,333.0,333.0,333.0,500.0,388.6666666666667,0.0,0.03,333.0,8.41,11.33,14.68,5.28,39.7,45.82
5,2005,14,Chhattisgarh,Raigarh,0.03,0.01,333.0,333.0,333.0,333.0,333.0,0.0,0.03,333.0,6.78,15.34,10.24,7.72,40.08,47.67
5,2006,14,Chhattisgarh,Raigarh,0.05,0.02,400.0,333.0,333.0,333.0,333.0,0.20120120120120122,0.03,450.0,3.32,11.99,11.26,5.55,32.12,38.53
5,2007,14,Chhattisgarh,Raigarh,0.02,0.01,500.0,400.0,333.0,333.0,355.3333333333333,0.25,0.05,666.6666666666666,8.88,9.63,8.99,11.52,39.02,43.48
5,2008,14,Chhattisgarh,Raigarh,0.02,0.01,500.0,500.0,400.0,333.0,411.0,0.0,0.02,420.6666666666667,10.77,12.6,12.16,10.8,46.33,50.66
5,2009,14,Chhattisgarh,Raigarh,0.02,0.01,500.0,500.0,500.0,400.0,466.6666666666667,0.0,0.02,500.0,2.17,16.42,9.09,2.89,30.570000000000004,36.85
5,2011,14,Chhattisgarh,Raigarh,0.03,0.01,333.0,500.0,500.0,500.0,500.0,-0.33399999999999996,0.02,833.25,6.64,9.21,12.16,15.7,43.71,48.85
5,2012,14,Chhattisgarh,Raigarh,0.33,0.13,394.0,333.0,500.0,500.0,444.3333333333333,0.18318318318318316,0.03,723.5,6.37,14.29,17.78,6.9,45.34,51.43
5,2013,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0,394.0,333.0,500.0,409.0,1.5380710659898478,0.33,810.5,8.38,12.57,12.29,6.11,39.35,52.35
5,2014,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0,1000.0,394.0,333.0,575.6666666666666,0.0,0.01,750.0,3.83,13.32,10.83,7.77,35.75,44.17
5,2015,14,Chhattisgarh,Raigarh,0.01,0.01,1000.0,1000.0,1000.0,394.0,798.0,0.0,0.01,666.6666666666666,6.22,12.45,12.01,7.6,38.28,42.26
7,1993,6,Madhya Pradesh,Jabalpur,0.02,0.01,500.0,800.0,667.0,1000.0,822.3333333333334,-0.375,0.05,736.7586206896551,7.4,7.92,14.11,12.84,42.27,44.75
7,2005,6,Madhya Pradesh,Jabalpur,0.01,0.01,1000.0,500.0,800.0,667.0,655.6666666666666,1.0,0.02,1001.9333333333333,4.93,25.25,10.83,11.04,52.05,56.63
7,2006,6,Madhya Pradesh,Jabalpur,0.01,0.01,1000.0,1000.0,500.0,800.0,766.6666666666666,0.0,0.01,1027.1290322580646,3.32,11.35,10.96,3.4,29.03,33.18
7,2018,6,Madhya Pradesh,Jabalpur,0.03,0.04,1321.0,1000.0,1000.0,500.0,833.3333333333334,0.32099999999999995,0.01,1588.7435897435898,3.52,12.81,12.21,3.93,32.470000000000006,34.33
7,2019,6,Madhya Pradesh,Jabalpur,0.01,0.02,1727.0,1321.0,1000.0,1000.0,1107.0,0.307342922028766,0.03,1341.735294117647,3.09,11.8,17.64,16.14,48.67,51.67
9,1993,6,Madhya Pradesh,Chhindwara,0.17,0.12,706.0,667.0,571.0,625.0,621.0,0.058470764617691184,0.15,736.7586206896551,6.25,13.06,8.34,11.84,39.49,44.07
9,1994,6,Madhya Pradesh,Chhindwara,0.3,0.2,667.0,706.0,667.0,571.0,648.0,-0.055240793201133176,0.17,769.1666666666666,8.54,15.63,15.09,7.92,47.18000000000001,51.94
9,1995,6,Madhya Pradesh,Chhindwara,0.2,0.2,1000.0,667.0,706.0,667.0,680.0,0.4992503748125936,0.3,930.3,3.03,12.94,7.34,8.09,31.4,37.09
9,1996,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0,1000.0,667.0,706.0,791.0,0.0,0.2,839.2857142857143,1.43,11.67,11.57,5.87,30.540000000000003,35.34
9,1997,6,Madhya Pradesh,Chhindwara,0.2,0.2,1000.0,1000.0,1000.0,667.0,889.0,0.0,0.1,925.2631578947369,4.34,10.28,10.3,4.9,29.82,40.82
9,1998,6,Madhya Pradesh,Chhindwara,0.2,0.1,500.0,1000.0,1000.0,1000.0,1000.0,-0.5,0.2,1043.3,4.67,9.04,9.33,7.34,30.38,36.83
9,1999,6,Madhya Pradesh,Chhindwara,0.1,0.1,1000.0,500.0,1000.0,1000.0,833.3333333333334,1.0,0.2,835.1176470588235,4.37,10.89,9.48,8.86,33.6,39.05
9,2000,6,Madhya Pradesh,Chhindwara,0.3,0.2,667.0,1000.0,500.0,1000.0,833.3333333333334,-0.33299999999999996,0.1,973.6666666666666,4.6,12.63,7.28,2.52,27.03,29.58
